code,district_code,regency_code,province_code,name,latitude,longitude,coordinates
1610122003,161012,1610,16,"Talang Dukun",,,null
1610152002,161015,1610,16,"Lubuk Keliat",,,null
1611012002,161101,1611,16,"Suka Dana",,,null
1611012020,161101,1611,16,"Seleman Ilir",,,null
1611012021,161101,1611,16,"Seleman Ulu",,,null
1611022002,161102,1611,16,"Bandar Agung",,,null
1611022025,161102,1611,16,"Sarang Bulan",,,null
1611041017,161104,1611,16,"Ps. Tebing Tinggi",,,null
1611042001,161104,1611,16,"Ujung Alih",,,null
1611062008,161106,1611,16,"Talang Padang",,,null
1611072008,161107,1611,16,Nanjungan,,,null
1611092002,161109,1611,16,"Tanjungning Simpang",,,null
1612052012,161205,1612,16,"Tanjung Dalam",,,null
1613052005,161305,1613,16,"Rantau Kadam",,,null
1671121001,167112,1671,16,Gandus,,,null
1673011005,167301,1673,16,"Taba Lestari",,,null
1674051005,167405,1674,16,"Anak Petai",,,null
1601132006,160113,1601,16,Pusar,,,null
1601142008,160114,1601,16,"Tanjung Baru",,,null
1601222010,160122,1601,16,Lunggaian,,,null
1602021011,160202,1602,16,"Tanjung Lubuk",,,null
1602052013,160205,1602,16,"Tanjung Lubuk",,,null
1602082009,160208,1602,16,"Rengas Pitu",,,null
1602112003,160211,1602,16,Penyandingan,,,null
1602112007,160211,1602,16,Kayuara,,,null
1602122015,160212,1602,16,Jermun,,,null
1602122039,160212,1602,16,"Sri Mulya",,,null
1602132008,160213,1602,16,"Cahaya Maju",,,null
1602142007,160214,1602,16,"Srijaya Baru",,,null
1602142016,160214,1602,16,"Simpang Heran",,,null
1602192002,160219,1602,16,"Pangkalan Lampan",,,null
1602202002,160220,1602,16,"Surya Karta",,,null
1602202014,160220,1602,16,"Cahaya Mulya",,,null
1602212005,160221,1602,16,Ciptasari,,,null
1602212013,160221,1602,16,Kertamukti,,,null
1603032020,160303,1603,16,"Manunggal Makmur",,,null
1603062015,160306,1603,16,Midar,,,null
1603092005,160309,1603,16,"Tebing Abang",,,null
1603092006,160309,1603,16,"Batu Surau",,,null
1603102007,160310,1603,16,"Tanjung Agung",,,null
1603172008,160317,1603,16,"Talang Nangka",,,null
1603262009,160326,1603,16,Dangku,,,null
1604012010,160401,1604,16,"Kepala Siring",,,null
1604072009,160407,1604,16,"Mutar Alam Lama",,,null
1604122006,160412,1604,16,"Pajar Bulan",,,null
1604172004,160417,1604,16,"Lubuk Tapang",,,null
1604231014,160423,1604,16,"Lebuay Bandung",,,null
1604232003,160423,1604,16,"Prabu Menang",,,null
1604242001,160424,1604,16,"Pulau Panas",,,null
1604312007,160431,1604,16,Kerung,,,null
1605012005,160501,1605,16,Kalibening,,,null
1605021019,160502,1605,16,"Muara Lakitan",,,null
1605022005,160502,1605,16,"Sungai Pinang",,,null
1605032016,160503,1605,16,"Bingin Janggut",,,null
1605112009,160511,1605,16,Perabumenang,,,null
1605142001,160514,1605,16,"Kembang Tanjung",,,null
1605142018,160514,1605,16,"Mekar Jaya",,,null
1605212004,160521,1605,16,Ciptodadi,,,null
1606022009,160602,1606,16,"Teluk Kijing I",,,null
1606052005,160605,1606,16,Penggage,,,null
1606052008,160605,1606,16,"Ngulak III",,,null
1606072009,160607,1606,16,"Linggo Sari",,,null
1606072021,160607,1606,16,"Bukit Jaya",,,null
1606082013,160608,1606,16,"Mulyo Asih",,,null
1606092013,160609,1606,16,Mendis,,,null
1606092015,160609,1606,16,"Muara Medak",,,null
1606092017,160609,1606,16,Sukajaya,,,null
1606102012,160610,1606,16,"Sialang Agung",,,null
1606112013,160611,1606,16,"Jaya Agung",,,null
1606112022,160611,1606,16,"Mulya Jaya",,,null
1607032011,160703,1607,16,"Ujung Tanjung",,,null
1607042014,160704,1607,16,"Nunggal Sari",,,null
1607072006,160707,1607,16,Purwodadi,,,null
1607101002,160710,1607,16,"Air Batu",,,null
1607112018,160711,1607,16,Penandingan,,,null
1607132005,160713,1607,16,"Sumber Mulyo",,,null
1607152001,160715,1607,16,Bentayan,,,null
1607182009,160718,1607,16,"Talang Lubuk",,,null
1607192014,160719,1607,16,"Panca Desa",,,null
1607202005,160720,1607,16,"Tabala Jaya",,,null
1608022009,160802,1608,16,"Tanjung Bulan",,,null
1608052007,160805,1608,16,"Trantang Sakti",,,null
1608052009,160805,1608,16,"Pahang Asri",,,null
1608072022,160807,1608,16,"Agung Jati",,,null
1608092005,160809,1608,16,"Raman Jaya",,,null
1608092022,160809,1608,16,"Bangun Rejo",,,null
1608122019,160812,1608,16,"Kumpul Rejo",,,null
1608152001,160815,1608,16,"Karang Melati",,,null
1608152004,160815,1608,16,"Tulung Harapan",,,null
1608172006,160817,1608,16,"Sumber Agung",,,null
1608202002,160820,1608,16,Anyar,,,null
1608202005,160820,1608,16,"Surya Menang",,,null
1609012003,160901,1609,16,"Gunung Tiga",,,null
1609022022,160902,1609,16,"Pematang Obar",,,null
1609042018,160904,1609,16,"Ulak Agung Ulu",,,null
1609052010,160905,1609,16,"Bungin Campang",,,null
1609052030,160905,1609,16,"Sinar Mulyo",,,null
1609062017,160906,1609,16,"Lubuk Liku",,,null
1609082006,160908,1609,16,"Kota Baru",,,null
1609092001,160909,1609,16,"Tanjung Durian",,,null
1609092022,160909,1609,16,"Tanjung Menang",,,null
1609172005,160917,1609,16,Damarpura,,,null
1609182008,160918,1609,16,"Kuripan II",,,null
1610012013,161001,1610,16,"Seri Kembang",,,null
1610022013,161002,1610,16,"Senuro Timur",,,null
1610022021,161002,1610,16,"Tanjung Laut",,,null
1610042007,161004,1610,16,"Tanjung Agung",,,null
1610052034,161005,1610,16,"Rawa Jaya",,,null
1610122001,161012,1610,16,Serijabo,,,null
1611021031,161102,1611,16,"Pagar Tengah",,,null
1611022004,161102,1611,16,"Lubuk Layang",,,null
1611042003,161104,1611,16,"Ulak Mengkudu",,,null
1611042004,161104,1611,16,"Batu Pance",,,null
1611042011,161104,1611,16,"Kemang Manis",,,null
1611052011,161105,1611,16,"Tanjung Alam",,,null
1611092001,161109,1611,16,"Lubuk Kelumpang",,,null
1612052003,161205,1612,16,"Tanah Abang Utara",,,null
1613042009,161304,1613,16,"Beringin Makmur I",,,null
1613051004,161305,1613,16,"Karang Dapo I",,,null
1613062008,161306,1613,16,Terusan,,,null
1671051008,167105,1671,16,"20 Ilir D IV",,,null
1671171003,167117,1671,16,"15 Ulu",,,null
1672021004,167202,1672,16,Nendayung,,,null
1672031025,167203,1672,16,"Reba Tinggi",,,null
1672051008,167205,1672,16,Jokoh,,,null
1673021004,167302,1673,16,"Bandung Ujung",,,null
1673071005,167307,1673,16,"Eka Marga",,,null
1674021006,167402,1674,16,"Muara Dua",,,null
1674051001,167405,1674,16,"Pasar Prabumulih I",,,null
1601072002,160107,1601,16,"Rantau Kumpai",,,null
1601072007,160107,1601,16,"Lubuk Leban",,,null
1601131005,160113,1601,16,"Talang Jawa",,,null
1601141014,160114,1601,16,"Sekar Jaya",,,null
1601212012,160121,1601,16,"Raksa Jiwa",,,null
1602022018,160202,1602,16,"Jambu Ilir",,,null
1602051010,160205,1602,16,Kutaraja,,,null
1602082004,160208,1602,16,"Ulak Jermun",,,null
1602082013,160208,1602,16,"Bungin Tinggi",,,null
1602082018,160208,1602,16,"Rawang Besar",,,null
1602122002,160212,1602,16,Sepang,,,null
1602132035,160213,1602,16,"Cahaya Makmur",,,null
1602152003,160215,1602,16,"Sungai Ceper",,,null
1602172001,160217,1602,16,"Tanjung Aur",,,null
1602172010,160217,1602,16,"Terusan Jawa",,,null
1602182016,160218,1602,16,"Lebak Beriang",,,null
1602182017,160218,1602,16,"Parit Raya",,,null
1602202004,160220,1602,16,"Mukti Karya",,,null
1602202019,160220,1602,16,"Sumber Mulya",,,null
1603012019,160301,1603,16,"Muara Emil",,,null
1603022004,160302,1603,16,"Tanjung Jati",,,null
1603022011,160302,1603,16,Kepur,,,null
1603032018,160303,1603,16,"Air Talas",,,null
1603082001,160308,1603,16,Penindaian,,,null
1603082007,160308,1603,16,"Pagar Agung",,,null
1603112005,160311,1603,16,"Muara Gula Baru",,,null
1603172015,160317,1603,16,"Alai Selatan",,,null
1603192002,160319,1603,16,Betung,,,null
1603232007,160323,1603,16,Bulang,,,null
1603272008,160327,1603,16,"Sugih Waras",,,null
1604072008,160407,1604,16,"Pandan Arang Ulu",,,null
1604092023,160409,1604,16,Kebur,,,null
1604162009,160416,1604,16,"Sirah Pulau",,,null
1604172029,160417,1604,16,"Marga Mulya",,,null
1604192019,160419,1604,16,"Sido Makmur",,,null
1604222002,160422,1604,16,"Tanjung Agung",,,null
1604232008,160423,1604,16,"Tanjung Lontar",,,null
1604252007,160425,1604,16,"Lubuk Selo",,,null
